,Unnamed: 0,speech,word_count,sentence_count,average_words,average_syl_per_word,flesch_kincaid_score,flesch_kincaid_grade_level,total_gendered_terms,female_gendered_terms,male_gendered_terms,terms_of_equality,terms_for_race,terms_for_religion,political_party,president,time_period,year
0,0,<_io.TextIOWrapper name='corpus/adams/adams_speeches_000.txt' mode='rt' encoding='cp1252'>,3034,79,39.379746835443036,1.7083058668424522,22.3418806271539,19.92611049456372,28,0,28,3,0,0,1.0,adams,0.0,1797
1,1,<_io.TextIOWrapper name='corpus/adams/adams_speeches_001.txt' mode='rt' encoding='cp1252'>,2322,34,68.82352941176471,1.6903531438415158,-6.0247583219334055,31.19734356791813,14,0,14,3,1,3,1.0,adams,0.0,1797
2,2,<_io.TextIOWrapper name='corpus/adams/adams_speeches_002.txt' mode='rt' encoding='cp1252'>,2224,59,38.66101694915254,1.6812050359712232,25.36412175344472,19.326016034629927,12,5,7,1,4,1,1.0,adams,0.0,1798
3,3,<_io.TextIOWrapper name='corpus/adams/adams_speeches_003.txt' mode='rt' encoding='cp1252'>,663,9,73.55555555555556,1.7315233785822022,-14.310766716943164,33.52864253393665,5,0,5,0,0,3,1.0,adams,0.0,1798
4,4,<_io.TextIOWrapper name='corpus/adams/adams_speeches_004.txt' mode='rt' encoding='cp1252'>,1500,37,41.45945945945946,1.73,18.395648648648688,20.99318918918919,7,0,7,1,0,0,1.0,adams,0.0,1799
5,5,<_io.TextIOWrapper name='corpus/adams/adams_speeches_005.txt' mode='rt' encoding='cp1252'>,2058,60,35.25,1.6749271137026238,29.357416180758037,17.921639941690966,5,0,5,0,3,2,1.0,adams,0.0,1797
6,6,<_io.TextIOWrapper name='corpus/adams/adams_speeches_006.txt' mode='rt' encoding='cp1252'>,1268,64,20.234375,1.6246056782334384,48.85546899645115,11.471753253154574,58,3,55,0,0,0,1.0,adams,0.0,1799
7,7,<_io.TextIOWrapper name='corpus/adams/adams_speeches_007.txt' mode='rt' encoding='cp1252'>,303,6,50.5,1.7557755775577557,7.038886138613889,24.823151815181518,0,0,0,0,0,0,1.0,adams,1.0,1800
8,8,<_io.TextIOWrapper name='corpus/adams/adams_speeches_008.txt' mode='rt' encoding='cp1252'>,1379,38,37.23684210526316,1.6939811457577956,25.728800332048426,18.921345940994627,1,0,1,2,0,1,1.0,adams,1.0,1800
9,9,<_io.TextIOWrapper name='corpus/arthur/arthur_speeches_000.txt' mode='rt' encoding='cp1252'>,3017,98,31.448979591836732,1.65661252900232,34.764865760689446,16.223129883043708,2,1,1,0,1,0,8.0,arthur,5.0,1882
10,10,<_io.TextIOWrapper name='corpus/arthur/arthur_speeches_001.txt' mode='rt' encoding='cp1252'>,444,15,30.266666666666666,1.713963963963964,31.112981981982017,16.438774774774775,10,0,10,0,0,0,8.0,arthur,5.0,1881
11,11,<_io.TextIOWrapper name='corpus/arthur/arthur_speeches_002.txt' mode='rt' encoding='cp1252'>,13317,494,27.293522267206477,1.687316963280018,36.38505980529592,14.96481385091474,54,6,48,2,20,0,8.0,arthur,10.0,1981
12,12,<_io.TextIOWrapper name='corpus/arthur/arthur_speeches_003.txt' mode='rt' encoding='cp1252'>,1214,44,28.318181818181817,1.5049423393739705,50.77392354350758,13.212410513703759,2,2,0,0,0,0,8.0,arthur,5.0,1882
13,13,<_io.TextIOWrapper name='corpus/arthur/arthur_speeches_004.txt' mode='rt' encoding='cp1252'>,839,26,32.80769230769231,1.6960667461263408,30.04794558540388,17.218587604290818,1,0,1,0,0,0,8.0,arthur,5.0,1882
14,14,<_io.TextIOWrapper name='corpus/arthur/arthur_speeches_005.txt' mode='rt' encoding='cp1252'>,1690,44,38.81818181818182,1.685207100591716,24.86602474448628,19.43453469607316,8,0,8,3,0,0,8.0,arthur,5.0,1882
